eff_dt,merchant_nm,cust_no
8/6/2017,DUNIA MIMPI,2542094.2
8/27/2017,DUNIA MIMPI,1254809.8
8/19/2017,DUNIA MIMPI,994288.6
8/19/2017,DUNIA MIMPI,613854.4
8/19/2017,DUNIA MIMPI,500926.6
8/20/2017,DUNIA MIMPI,2083837.8
8/6/2017,DUNIA MIMPI,596471.8
8/13/2017,DUNIA MIMPI,2048736.4
8/6/2017,DUNIA MIMPI,1699317.8
8/31/2017,DUNIA MIMPI,1811868.2
8/3/2017,DUNIA MIMPI,351077.8
8/19/2017,DUNIA MIMPI,432361
8/19/2017,DUNIA MIMPI,1518807
8/20/2017,DUNIA MIMPI,933162.2
8/27/2017,DUNIA MIMPI,684739.4
8/20/2017,DUNIA MIMPI,101466.8
8/5/2017,DUNIA MIMPI,3405786.2
8/13/2017,DUNIA MIMPI,140494.8
8/12/2017,DUNIA MIMPI,591135.8
8/12/2017,DUNIA MIMPI,2789592.4
8/13/2017,DUNIA MIMPI,2071945.6
8/12/2017,DUNIA MIMPI,1694550.2
8/13/2017,DUNIA MIMPI,1493920.4
8/31/2017,DUNIA MIMPI,730667.2
8/5/2017,DUNIA MIMPI,1545800
8/6/2017,DUNIA MIMPI,1408826.2
8/3/2017,DUNIA MIMPI,1022612.2
8/6/2017,DUNIA MIMPI,1507508.2
8/6/2017,DUNIA MIMPI,390784
8/8/2017,DUNIA MIMPI,1582160
8/10/2017,DUNIA MIMPI,84502.6
8/12/2017,DUNIA MIMPI,1375794.4
8/12/2017,DUNIA MIMPI,852411.8
8/22/2017,DUNIA MIMPI,2036584.4
8/14/2017,DUNIA MIMPI,1165964.8
8/17/2017,DUNIA MIMPI,584227.2
8/27/2017,DUNIA MIMPI,2935462.6
8/26/2017,DUNIA MIMPI,1976413
8/6/2017,DUNIA MIMPI,797103.2
8/13/2017,DUNIA MIMPI,1811947.6
8/20/2017,DUNIA MIMPI,669648.6
8/26/2017,DUNIA MIMPI,2001756.6
8/17/2017,DUNIA MIMPI,1377603.8
8/21/2017,DUNIA MIMPI,2390299.8
8/5/2017,DUNIA MIMPI,849869.4
8/17/2017,DUNIA MIMPI,2203182.4
8/19/2017,DUNIA MIMPI,1812848.8
8/12/2017,DUNIA MIMPI,182218
8/27/2017,DUNIA MIMPI,1868901.4
8/5/2017,DUNIA MIMPI,2021345
8/17/2017,DUNIA MIMPI,158209.4
8/20/2017,DUNIA MIMPI,1149603
8/20/2017,DUNIA MIMPI,2341433
8/21/2017,DUNIA MIMPI,2390299.8
8/26/2017,DUNIA MIMPI,126663
8/20/2017,DUNIA MIMPI,2085750.2
8/6/2017,DUNIA MIMPI,229396.4
8/6/2017,DUNIA MIMPI,1840007.8
8/8/2017,DUNIA MIMPI,3517211.8
8/13/2017,DUNIA MIMPI,2048736.4
8/13/2017,DUNIA MIMPI,135606
8/17/2017,DUNIA MIMPI,1175535.4
8/17/2017,DUNIA MIMPI,1903825
8/6/2017,DUNIA MIMPI,1817971.4
8/12/2017,DUNIA MIMPI,2229437
8/26/2017,DUNIA MIMPI,1996559.2
8/20/2017,DUNIA MIMPI,1186650.4
8/20/2017,DUNIA MIMPI,684507.6
8/20/2017,DUNIA MIMPI,1528730
8/16/2017,DUNIA MIMPI,2542094.2
8/17/2017,DUNIA MIMPI,1609618.2
8/26/2017,DUNIA MIMPI,146972.2
8/27/2017,DUNIA MIMPI,1789125.8
8/26/2017,DUNIA MIMPI,163142.8
8/26/2017,DUNIA MIMPI,1658423
8/27/2017,DUNIA MIMPI,837963
8/26/2017,DUNIA MIMPI,1986784.2
8/27/2017,DUNIA MIMPI,1289074
8/27/2017,DUNIA MIMPI,2329872.8
8/19/2017,DUNIA MIMPI,2249104.6
8/19/2017,DUNIA MIMPI,2249104.6
8/19/2017,DUNIA MIMPI,160989.6
8/26/2017,DUNIA MIMPI,575212.6
8/26/2017,DUNIA MIMPI,2789592.4
8/27/2017,DUNIA MIMPI,2379328.8
8/19/2017,DUNIA MIMPI,299709.8
8/26/2017,DUNIA MIMPI,1017538.4
8/18/2017,DUNIA MIMPI,1219041.2
8/19/2017,DUNIA MIMPI,1329663.4
8/17/2017,DUNIA MIMPI,633215.4
8/5/2017,DUNIA MIMPI,2242993.8
8/19/2017,DUNIA MIMPI,2542094.2
8/20/2017,DUNIA MIMPI,637148
8/12/2017,DUNIA MIMPI,1568281
8/12/2017,DUNIA MIMPI,2407535.6
8/20/2017,DUNIA MIMPI,503854.8
8/17/2017,DUNIA MIMPI,1702393.4
8/27/2017,DUNIA MIMPI,2037910.4
8/13/2017,DUNIA MIMPI,897373
8/17/2017,DUNIA MIMPI,1685931
8/20/2017,DUNIA MIMPI,1967870.8
8/17/2017,DUNIA MIMPI,494195.2
8/17/2017,DUNIA MIMPI,2051541.6
8/27/2017,DUNIA MIMPI,1681797.4
8/20/2017,DUNIA MIMPI,1028675.2
8/26/2017,DUNIA MIMPI,3899070.2
8/26/2017,DUNIA MIMPI,2685160.4
8/20/2017,DUNIA MIMPI,2476530.2
8/12/2017,DUNIA MIMPI,2806877
8/12/2017,DUNIA MIMPI,2229437
8/26/2017,DUNIA MIMPI,751415.8
8/7/2017,DUNIA MIMPI,1118546.2
8/19/2017,DUNIA MIMPI,476560
8/20/2017,DUNIA MIMPI,1721634
8/25/2017,DUNIA MIMPI,1668779.4
8/19/2017,DUNIA MIMPI,2556827
8/13/2017,DUNIA MIMPI,2190976.8
8/16/2017,DUNIA MIMPI,1882593.8
8/22/2017,DUNIA MIMPI,1440456.2
8/13/2017,DUNIA MIMPI,1874225.4
8/22/2017,DUNIA MIMPI,2067060.8
8/18/2017,FUNWORLD,155212
8/5/2017,FUNWORLD,1758661.2
8/19/2017,FUNWORLD,1786013
8/10/2017,FUNWORLD,2776661.6
8/11/2017,FUNWORLD,1290652.4
8/17/2017,FUNWORLD,1434235
