TGL,X,Y,Z
1/1/2014,4.39,1007,22950
2/1/2014,4.52,1031,22792
3/1/2014,4.83,1105,22865
4/1/2014,4.77,1144,24010
5/1/2014,4.87,1195,24558
6/1/2014,5.15,1295,25152
7/1/2014,5.07,1252,24699
8/1/2014,5.40,1348,24983
9/1/2014,5.21,1325,25428
10/1/2014,5.09,1295,25467
11/1/2014,4.84,1245,25734
12/1/2014,4.42,1205,27235
1/1/2015,4.65,1234,26549
2/1/2015,4.59,1218,26547
3/1/2015,4.86,1292,26571
4/1/2015,5.06,1350,26689
5/1/2015,5.15,1390,26990
6/1/2015,5.16,1435,27817
7/1/2015,5.01,1420,28367
8/1/2015,5.48,1511,27590
9/1/2015,5.63,1561,27729
10/1/2015,5.67,1575,27783
11/1/2015,5.56,1572,28272
12/1/2015,5.42,1599,29477
1/1/2016,5.71,1637,28661
2/1/2016,5.47,1599,29216
3/1/2016,5.56,1643,29558
4/1/2016,5.72,1651,28864
5/1/2016,5.85,1715,29330
6/1/2016,5.97,1752,29367
7/1/2016,5.77,1715,29709
8/1/2016,6.04,1810,29972
9/1/2016,6.13,1845,30114
10/1/2016,6.02,1854,30816
11/1/2016,5.78,1809,31314
12/1/2016,5.81,1943,33422
1/1/2017,6.26,2043,32641
2/1/2017,5.72,1873,32756
3/1/2017,5.79,1891,32682
4/1/2017,5.91,1939,32811
5/1/2017,6.05,1996,33025
6/1/2017,6.01,2073,34497
7/1/2017,6.49,2195,33833
8/1/2017,6.41,2177,33951
9/1/2017,6.44,2192,34029
10/1/2017,6.48,2238,34519
11/1/2017,6.22,2152,34605
12/1/2017,5.76,2056,35722
1/1/2018,5.68,2040,35922
2/1/2018,5.44,2002,36796
3/1/2018,5.46,2002,36633
4/1/2018,5.49,2039,37166
5/1/2018,5.58,2082,37285
6/1/2018,5.63,2146,38139
7/1/2018,5.90,2223,37661
8/1/2018,5.95,2281,38373
9/1/2018,6.18,2329,37694
10/1/2018,5.91,2272,38453
11/1/2018,5.90,2292,38867
12/1/2018,5.80,2315,39915
1/1/2019,5.94,2360,39746
2/1/2019,6.10,2447,40136
3/1/2019,5.95,2372,39879
4/1/2019,5.86,2366,40370
5/1/2019,6.13,2400,39156
6/1/2019,6.16,2491,40430
7/1/2019,6.22,2514,40392
8/1/2019,5.80,2395,41296
9/1/2019,5.53,2298,41552
10/1/2019,5.22,2157,41328
11/1/2019,4.85,2009,41399
12/1/2019,4.61,2011,43582
1/1/2020,4.85,2025,41752
2/1/2020,4.87,2010,41235
3/1/2020,5.39,2065,38323
4/1/2020,7.18,2438,33946
5/1/2020,8.73,2813,32206
6/1/2020,10.20,3360,32941
7/1/2020,11.80,3936,33344
8/1/2020,11.51,3938,34219
